question,reference,generated,bleu,meteor,rouge_1,rouge_2,rouge_L
컴퓨터소프트웨어학과의 주요 교육 목표는 무엇인가요?,"4차 산업 및 미래산업의 핵심 분야인 소프트웨어 및 인공지능 개발을 위한 단계적 교육과정을 확립하고, 웹프로그래밍, 모바일 소프트웨어, 인공지능 및 빅데이터 분야별 교육과정을 통해 체계적인 교육을 제공합니다.",컴퓨터소프트웨어학과의 주요 교육 목표는 AI 응용 소프트웨어 개발 인력을 양성하는 것입니다. 이를 통해 전공 학생들이 산업의 핵심 기술을 이해하고 실무 능력을 발휘할 수 있도록 지원합니다.,1.0302244574723434e-231,0.05791505791505792,0.0,0.0,0.0
컴퓨터소프트웨어학과의 학사학위 전공심화과정은 언제 개설되었나요?,2018년 10월에 개설되었습니다.,"컴퓨터소프트웨어학과의 학사학위 전공심화과정은 2020년 10월 8일에 개설되었으며, 2021학년도에만 운영됩니다.",0.0,0.0,0.3333333333333333,0.0,0.3333333333333333
컴퓨터소프트웨어학과에서 운영하는 전공 동아리는 무엇인가요?,"SWAP, Logic, JIP, SM 등의 전공 동아리가 운영되고 있습니다.",컴퓨터소프트웨어학과에서 운영하는 전공 동아리는 whatis? (What Is?)입니다.,8.416851712392762e-232,0.05681818181818182,0.0,0.0,0.0
컴퓨터소프트웨어학과의 졸업생이 진출할 수 있는 직업군은 무엇인가요?,"모바일 소프트웨어 개발자, 인공지능 소프트웨어 개발자, 빅데이터 분석가, 네트워크 구축 및 서버 관리자 등 다양한 IT 분야 직업군에 진출할 수 있습니다.","컴퓨터소프트웨어학과의 졸업생은 인공지능 프로그래머, 지능형 소프트웨어 개발자, 의료 AI 시스템 프로그래머, 로봇 공학 기술자, 모바일 게임 프로그래머, 시스템 소프트웨어 개발자, 빅데이터 처리 전문가 등으로 진출할 수 있습니다.",3.3555740537725206e-78,0.4340277777777778,0.0,0.0,0.0
컴퓨터소프트웨어학과의 취득 가능한 자격증은 무엇인가요?,"정보처리기사, 네트워크관리사, 빅데이터 분석기사, MCP, MCSA, OCJP, LPIC 등 다양한 자격증을 취득할 수 있습니다.","다음 정보를 바탕으로 질문에 답하세요:
    어실습장비와 우수한 교사진을 확보하고 있으며, 국내 학생 창업, 캡스톤 경진대회, 학생 논문 경진대회에서 다수의 수상이력을 보유하고 있습니다.
항공기계과에서 취득할 수 있는 자격증은 무엇인가요?",3.743881382418666e-155,0.16594516594516595,0.0,0.0,0.0
컴퓨터소프트웨어학과의 졸업생 취업 분포는 어떻게 되나요?,"소프트웨어 개발 분야 64%, 웹/멀티미디어 분야 28%, 기타 IT 분야 8%입니다.","컴퓨터소프트웨어학과의 졸업생 취업 분포는 다음과 같습니다: 인공지능 프로그래머, 지능형 소프트웨어 개발자, 의료 AI 시스템 프로그래머, 로봇 공학 기술자, 모바일 게임 프로그래머, 시스템 소프트웨어 개발자, 빅데이터 처리 전문가 등입니다.",7.919883909890055e-232,0.03937007874015749,0.0,0.0,0.0
컴퓨터소프트웨어학과의 학과명 변경 연혁은 어떻게 되나요?,"2002년 10월에 컴퓨터소프트웨어과로 변경되었고, 2018년 10월에 컴퓨터소프트웨어학과로 변경되었습니다.","다음 정보를 바탕으로 질문에 답하세요.
    컴퓨터소프트웨어학과서장원교수님연구실위치가어디인가요?
    컴퓨터소프트웨어학과서장원교수님연구실은 1호관 1213호실에 위치해 있습니다.",0.0,0.0,0.0,0.0,0.0
컴퓨터소프트웨어학과를 선택해야 하는 이유는 무엇인가요?,"소프트웨어 개발 인력 부족으로 인해 높은 취업률을 자랑하며, 4차 산업의 핵심 분야에 필요한 전문 지식을 함양할 수 있습니다.","컴퓨터소프트웨어학과를 선택해야 하는 이유는 자율적 설계 역량을 키우고, 환경의 변화에 능동적으로 대처할 수 있는 소통 역량을 함양하며, 전공 분야의 전문가가 될 수 있는 학과입니다. 또한, 진출 분야에는 인공지능 프로그래머, 지능형 소프트웨어 개발자, 의료 AI 시스템 프로그래머, 로봇공학 기술자, 모바일 게임 프로그래머, 시스템 소프트웨어 개발자, 빅데이터 처리 전문가가 필요합니다.",8.231055179516831e-232,0.04761904761904762,0.0,0.0,0.0
컴퓨터소프트웨어학과의 교육 트랙은 무엇인가요?,"웹프로그래밍 개발, 모바일 소프트웨어 개발, 인공지능 소프트웨어 개발의 3가지 교육 트랙이 있습니다.","컴퓨터소프트웨어학과의 교육 트랙은 AI응용개발, 모바일애플리케이션 개발, 컴퓨터시스템 및 소프트웨어 개발 등입니다.",1.2021513525930774e-231,0.12605042016806722,0.0,0.0,0.0
컴퓨터소프트웨어학과의 주요 산학협동 업체는 어디인가요?,"솔트웨어, 씨앤에스링크, 메이팜소프트, 다원디엔에스, BHS, 지누스 등입니다.","다음 정보를 바탕으로 질문에 답하세요.
    컴퓨터소프트웨어학과의 위치와 연락처는 무엇인가요?
컴퓨터소프트웨어학과는 6호관 1층에 위치하며, 전화는 031-720-2907입니다.",0.0,0.0,0.0,0.0,0.0
