question,reference,generated,bleu,meteor,rouge_1,rouge_2,rouge_L
산업디자인학과는 어떤 학과인가요?,"산업디자인학과는 창의적이고 능동적인 산업디자이너를 양성하며, 제품디자인, UI/UX디자인, 3D프린팅디자인 등 다양한 분야의 현장 중심 교육을 제공합니다.",industriel design 학과입니다.,0.0,0.0,0.0,0.0,0.0
산업디자인학과의 주요 학과 연혁은 무엇인가요?,"1981년에 학과가 신설되었으며, 2021년 산업디자인학과로 명칭이 변경되었습니다. 2024년에는 제품생활디자인과 UI/UX디자인 전공으로 이원화되었습니다.",산업디자인학과는 교육부 선정 사회맞춤형사업 5년간 운영하여 현재 본관 2층 및 본관 3층 및 본관 5층에 위치한 연구실을 운영하고 있습니다.,0.0,0.0,0.0,0.0,0.0
"산업디자인학과의 교수님들은 누구이며, 연락처는 어떻게 되나요?","1. 유승용 교수: 본관 5층 M503호, 031-720-2116, acapsule@du.ac.kr
2. 황정행 교수: 본관 5층 M514호, 031-720-2112, nextizen@du.ac.kr
3. 최재홍 교수: 본관 5층 M509호, 031-720-2113, hongdwe@nate.com
4. 이경아 교수: 본관 2층 M207호, 031-720-2117, nadomilka@du.ac.kr
5. 김두한 교수: 본관 3층 M309호, 031-720-2111, 212abc@du.ac.kr
6. 다까스요꼬 교수: 본관 4층 M415호, 031-720-2125, yktakasu@du.ac.kr","産業디자인학과의 교수님들은이경아교수님과 유승용교수님이며, 연락처는031-720-2900~2입니다.",0.0,0.0,0.09523809523809525,0.03278688524590164,0.09523809523809525
산업디자인학과의 교육목표와 방침은 무엇인가요?,"융복합 기술 시대에 대응한 현장 중심의 직무능력과 창의적 사고력을 길러내어, 국내외 공모전 및 산학협력 프로젝트를 통해 전문성을 갖춘 디자이너를 양성합니다.","디자인 전문성을 기르기 위해 국내/외 디자인 공모전 수상과 실무중심의 산학협력 프로젝트를 진행하고, 4차 산업혁신에 대한융합 지식을 탐구하여 학문적 chuyênabilidade를 발전시킨다.",0.024218026052883736,0.15781250000000002,0.0,0.0,0.0
산업디자인학과 졸업 후 진로는 어떻게 되나요?,"제품디자인, 환경디자인, 3D프린팅디자인, 멀티미디어디자인, UI/UX디자인 등 다양한 디자인 관련 산업으로 진출할 수 있습니다.","대상자들은 산업디자인학과 졸업 후 제품 디자이너, 환경디자이너, 3D 프린트 디자이너 등 다양한 산업디자인 관련 분야에서 취업할 수 있습니다.",0.0341599190576228,0.3303703703703705,0.5,0.0,0.5
산업디자인학과에서 취득 가능한 자격증은 무엇인가요?,"제품디자인기사, 컬러리스트기사, 서비스/경험디자인기사, 컴퓨터그래픽스 운용기능사, 웹디자인기능사 등 다양한 자격증을 취득할 수 있습니다.","자격증으로는 제품디자인, 환경디자인, 3D프린트디자인, 디지털디자인, 멀티미디어디자인, UI/UX디자인, CS/연구보조, 코딩분야 등이 있습니다.",0.017212239801819764,0.04201680672268908,0.0,0.0,0.0
산업디자인학과의 특징은 무엇인가요?,"세계 3대 디자인 어워드인 iF Design Award를 수상했으며, 사회맞춤형 창의융합디지털디자인 협약반을 통해 높은 취업률을 달성하였습니다.","산업디자인학과의 특징은 교육부 선정 사회맞춤형사업으로 현장중심의 실습실이 최고 환경으로 이뤄져 있으며, 미래 sociedad에 적합한 창조적이고 전통과 현대를 결합하는 제품 디자인과 기술을 강구하는 것입니다.",0.0,0.0,0.0,0.0,0.0
산업디자인학과의 학과 위치와 연락처는 어떻게 되나요?,"3호관 1층 3104호에 위치하고 있으며, 연락처는 전화 031-720-2110, 팩스 031-720-2289입니다.","산업디자인학과는 3호관 1층에 위치하고 있으며, 입학상담실의 연락처는 031-720-2900~2이며 FAX는 031-720-2903입니다.",0.05307712171072445,0.31562500000000004,0.631578947368421,0.35294117647058826,0.631578947368421
스마트드론과는 어떤 학과인가요?,"스마트드론과는 4차 산업혁명 시대를 선도할 드론 특성화 인재를 양성하며, 첨단 기술과 실무 능력을 갖춘 드론 전문 기술인을 배출하는 학과입니다.",스마트드론과는 자유전공학과이 Crimesolved아입니다.,0.0005485610283327929,0.028735632183908046,0.0,0.0,0.0
스마트드론과의 주요 학과 연혁은 무엇인가요?,"2023년에 신설된 학과로, 드론 조종, 정비, 소프트웨어 개발 등을 중심으로 드론 산업에 적합한 전문 인재를 양성합니다.","스마트드론과의 주요 학과 연혁은 다음과 같습니다.

*   2017년 3월, 우수 교육 프로그램을 도입하여 전문 education을 제공한다.
*   2020년 10월, 2년제 과정과 4년제 과정의 두 가지 과정에 대해 신경을 써서 제공한다.",0.006244385951234721,0.02873563218390805,0.0,0.0,0.0
"스마트드론과의 교수님들은 누구이며, 연락처는 어떻게 되나요?","1. 정진화 교수(학과장): 9호관 2층 9214호, 031-720-2051, jhchung@du.ac.kr
2. 남명관 교수: 본관 3층 M318, 031-720-2115, mknam@du.ac.kr
3. 맹민재 교수: 9호관 4층 9409호, 031-720-2142, mjmaeng@du.ac.kr
4. 박현철 교수: 9호관 4층 9413호, 031-720-2047, park@du.ac.kr","스마트드론과의 교수님은 정진화교수님과 박현철교수님입니다. 

- 정진화교수님의 연락처는 031-720-2086, 031-720-2261입니다.
- 박현철교수님의 연락처는 031-720-2086 (9호관9413호실)입니다.",0.0,0.0,0.2962962962962963,0.11538461538461536,0.2962962962962963
스마트드론과의 교육목표와 방침은 무엇인가요?,"드론 융합 지식과 실무 교육을 통해 창의적이고 협력적인 드론 전문 기술인을 양성하며, 성인 학습자 친화형 교육과정을 통해 학습자의 접근성을 높이고 실무 능력을 강화합니다.","스마트드론과의 교육목표는 4차 산업혁명 시대의 창의융합 인재 양성을 통한 드론 분야 융합지식 탐구를 통한 Education Goal로, 체계적인 기초지식을 통한 Drone 전문 기술을 육성하는 것입니다.",0.009410489957951634,0.04329004329004329,0.0,0.0,0.0
스마트드론과 졸업 후 진로는 어떻게 되나요?,"드론 조종, 드론 촬영, 드론 측량, 소프트웨어 개발 등 다양한 드론 관련 분야와 국내외 대학 진학 기회가 열려 있습니다.","스마트드론과 졸업 후 진로는, 드론 산업분야에서 경력을 쌓는 데 도움이 됩니다.",0.009108946940221201,0.027472527472527472,0.0,0.0,0.0
스마트드론과에서 취득 가능한 자격증은 무엇인가요?,"초경량비행장치 무인멀티콥터 1종, 지도조종자, 실기평가조종자 등 드론 관련 자격증을 취득할 수 있습니다.",스마트드론과에서 취득 가능한 자격증은 기본 컴퓨터 활용자격증입니다.,0.0,0.0,0.0,0.0,0.0
스마트드론과의 특징은 무엇인가요?,"최신 드론 실습장과 성남시 드론 시험 비행장 사용 협력으로 실습 효과를 극대화하며, 드론 축구팀 등 다양한 동아리 활동을 통해 학생들의 역량을 강화합니다.",스마트드론과의 특징은 최적의 학습 환경을 제공하며 항공정비부사관 및 창의융합메이커 양성에 중점을 두고 있습니다.,0.0,0.0,0.0,0.0,0.0
스마트드론과의 학과 위치와 연락처는 어떻게 되나요?,"9호관 1, 2층에 위치하고 있으며, 연락처는 전화 031-720-2086, 팩스 031-720-2261입니다.","스마트드론과는 9호관 1층에 위치해 있으며, 연락처는 031-720-2086 이며, FAX는 031-720-2261입니다.",0.05307712171072445,0.31562500000000004,0.8888888888888888,0.625,0.8888888888888888
스마트드론과의 주요 협력 기관은 어디인가요?,"와우시스템, 경기수출기업연합회, (주)위프코, (주)경기항공, (주)진글라이더 등 다양한 드론 관련 산업체와 협력하고 있습니다.",스마트드론과의 주요 협력 기관 중 하나는 (주)두산이엔지입니다.,0.0,0.0,0.0,0.0,0.0
스마트드론과에서 제공하는 교육 프로그램은 무엇인가요?,"드론 조종, 촬영, 정비, 측량 실습과 성인 학습자를 위한 PBL, 플립러닝, 비대면 강의를 포함한 교육 과정을 제공합니다.","스마트드론과에서는 미래 인재 양성을 위한 교육 프로그램을 제공합니다. 

 이 프로그램은 드론 분야 융합지식 탐구를 통한 4차 산업혁명 시대의 창의융합 인재 양성을 목표로 합니다.",0.011712916466550741,0.11363636363636362,0.0,0.0,0.0
스마트드론과의 주요 학과 활동은 무엇인가요?,"드론 축구팀을 운영하며, 다양한 드론 축구 대회 참가와 실습을 통해 학생들의 실무 역량을 강화합니다.",스마트드론과의 주요 학과 활동은 미래 인재 양성 및 스mart 드론의 특성화 인재양성에 관한 것입니다.,0.0,0.0,0.0,0.0,0.0
스마트드론과 졸업생의 주요 취업 분야는 무엇인가요?,"드론 조종, 드론 촬영, 드론 측량, 소프트웨어 개발 등 다양한 드론 산업 분야에서 활동하고 있습니다.","스마트드론과 졸업생의 주요 취업 분야는 전기전자공학 및 인프라, 건설, 교통 및 보안 등이 있습니다.",0.013298958652957459,0.03355704697986577,0.0,0.0,0.0
컴퓨터정보과는 어떤 학과인가요?,"컴퓨터정보과는 4차 산업혁명 분야의 전문 인재를 양성하며, 소프트웨어 개발, 빅데이터, 사물인터넷(IoT), 인공지능 분야의 실무 능력을 갖춘 창의적 ICT 중심 교육을 제공합니다.",컴퓨터정보과는 동서울대에 있는 computer information과입니다.,0.002190091937500514,0.02577319587628866,0.0,0.0,0.0
컴퓨터정보과의 주요 학과 연혁은 무엇인가요?,"1985년에 사무자동화과로 신설되어 2023년 컴퓨터정보과로 명칭이 변경되었으며, 다양한 정부 지원 사업에 선정되어 신산업특화 분야 교육을 진행하고 있습니다.",컴퓨터정보과의 주요 학과 연혁은 1985년에 개설하여 현재 39년 전통을 가진 학과입니다.,0.010925235453748463,0.03048780487804878,0.5,0.0,0.5
