question,reference,generated,bleu,meteor,rouge_1,rouge_2,rouge_L
산업디자인학과는 어떤 학과인가요?,"산업디자인학과는 창의적이고 능동적인 산업디자이너를 양성하며, 제품디자인, UI/UX디자인, 3D프린팅디자인 등 다양한 분야의 현장 중심 교육을 제공합니다.",صن業디자인학과가 있습니다.,0.0,0.0,0.0,0.0,0.0
산업디자인학과의 주요 학과 연혁은 무엇인가요?,"1981년에 학과가 신설되었으며, 2021년 산업디자인학과로 명칭이 변경되었습니다. 2024년에는 제품생활디자인과 UI/UX디자인 전공으로 이원화되었습니다.","산업디자인학과는 교육부 선정 사회맞춤형 사업의 일환으로 5년간 운영하여 현장중심의 실습실(강의실)이 최고 환경으로 이뤄지고 있으며, 미래 사회에 적합한 창조적이고 인류과정을 상징하는 인테크디자인, 제품디자인, 디지털미디어디자인 등 다양한 분야를 cover하고 있습니다.",0.0,0.0,0.0,0.0,0.0
"산업디자인학과의 교수님들은 누구이며, 연락처는 어떻게 되나요?","1. 유승용 교수: 본관 5층 M503호, 031-720-2116, acapsule@du.ac.kr
2. 황정행 교수: 본관 5층 M514호, 031-720-2112, nextizen@du.ac.kr
3. 최재홍 교수: 본관 5층 M509호, 031-720-2113, hongdwe@nate.com
4. 이경아 교수: 본관 2층 M207호, 031-720-2117, nadomilka@du.ac.kr
5. 김두한 교수: 본관 3층 M309호, 031-720-2111, 212abc@du.ac.kr
6. 다까스요꼬 교수: 본관 4층 M415호, 031-720-2125, yktakasu@du.ac.kr","산업디자인학과의 교수님들은 유승용교수님, 이경아교수님, 다까스요꼬교수님, 김두한교수님, 최재홍교수님입니다.
연락처는 본관 5층(유승용교수님), 본관 2층(이경아교수님), 본관 4층(다cka스요꼬교수님), 본관 3층(김두한교수님), 본관 6층(최재홍교수님)입니다.",0.003050950753048101,0.05555555555555556,0.15384615384615385,0.0,0.15384615384615385
산업디자인학과의 교육목표와 방침은 무엇인가요?,"융복합 기술 시대에 대응한 현장 중심의 직무능력과 창의적 사고력을 길러내어, 국내외 공모전 및 산학협력 프로젝트를 통해 전문성을 갖춘 디자이너를 양성합니다.",산업디자인학과의 교육목표는 4차 산업 혁신과 융합지식을 발전시키기 위해 항공및설계분야에서의融합 지식을 탐구하여 혁신을促진하는 것입니다.,0.0,0.0,0.0,0.0,0.0
산업디자인학과 졸업 후 진로는 어떻게 되나요?,"제품디자인, 환경디자인, 3D프린팅디자인, 멀티미디어디자인, UI/UX디자인 등 다양한 디자인 관련 산업으로 진출할 수 있습니다.","산업디자인학과 졸업 후 진로는 다음과 같습니다.

* 제품디자인, 환경디자인이 주로 다룰 수 있습니다.
* UI/UX디자인, 멀티미디어디ザイン 등도 possible합니다.",0.025281168697394947,0.18930041152263377,0.6666666666666666,0.5,0.6666666666666666
산업디자인학과에서 취득 가능한 자격증은 무엇인가요?,"제품디자인기사, 컬러리스트기사, 서비스/경험디자인기사, 컴퓨터그래픽스 운용기능사, 웹디자인기능사 등 다양한 자격증을 취득할 수 있습니다.",제품디자인과 환경디자인과는 제품디자ин 및 환경디자인 자격증을 취득할 수 있습니다.,0.21386638885976572,0.3392094017094017,0.0,0.0,0.0
산업디자인학과의 특징은 무엇인가요?,"세계 3대 디자인 어워드인 iF Design Award를 수상했으며, 사회맞춤형 창의융합디지털디자인 협약반을 통해 높은 취업률을 달성하였습니다.",산업디자인학과의 특징은 다양한 디자이너 경력 분야에 적합한 교육을 제공하는 것입니다.,0.0,0.0,0.0,0.0,0.0
산업디자인학과의 학과 위치와 연락처는 어떻게 되나요?,"3호관 1층 3104호에 위치하고 있으며, 연락처는 전화 031-720-2110, 팩스 031-720-2289입니다.",산업디자인학과의 학과 위치는 3호관1층이며 연락처는 031-720-2900입니다.,0.020960166113993737,0.05208333333333333,0.5714285714285714,0.3333333333333333,0.5714285714285714
스마트드론과는 어떤 학과인가요?,"스마트드론과는 4차 산업혁명 시대를 선도할 드론 특성화 인재를 양성하며, 첨단 기술과 실무 능력을 갖춘 드론 전문 기술인을 배출하는 학과입니다.",스마트드론과는 동서울대 학과입니다.,0.0006523526779065665,0.05747126436781609,0.0,0.0,0.0
스마트드론과의 주요 학과 연혁은 무엇인가요?,"2023년에 신설된 학과로, 드론 조종, 정비, 소프트웨어 개발 등을 중심으로 드론 산업에 적합한 전문 인재를 양성합니다.","스마트드론과의 주요 학과 연혁은 다음과 같습니다.

*   2015년-2016년 : 2년제 스마트드론과 개설
*   2020년 현재 : 학과 연혁을 통해 학科의 발전을 추적할 수 있습니다.",0.0,0.0,0.0,0.0,0.0
"스마트드론과의 교수님들은 누구이며, 연락처는 어떻게 되나요?","1. 정진화 교수(학과장): 9호관 2층 9214호, 031-720-2051, jhchung@du.ac.kr
2. 남명관 교수: 본관 3층 M318, 031-720-2115, mknam@du.ac.kr
3. 맹민재 교수: 9호관 4층 9409호, 031-720-2142, mjmaeng@du.ac.kr
4. 박현철 교수: 9호관 4층 9413호, 031-720-2047, park@du.ac.kr","스마트드론과 진화교수님으로는 정진화 교수가 exists하며 연락처는 031-720-2086입니다.

스마트드론과 박현철교수님으로는 박현철 교수가 존재하지 않습니다.",0.004284400774059628,0.03322259136212624,0.0851063829787234,0.044444444444444446,0.0851063829787234
스마트드론과의 교육목표와 방침은 무엇인가요?,"드론 융합 지식과 실무 교육을 통해 창의적이고 협력적인 드론 전문 기술인을 양성하며, 성인 학습자 친화형 교육과정을 통해 학습자의 접근성을 높이고 실무 능력을 강화합니다.","스마트드론과의 교육목표는 4차 산업혁명 시대 창의융합 인재 양성이며, 체계적인 기초지식과 이론, 실기 교육을 통한 드론 전문 기술 인육으로 구성되어 있습니다.",0.019398130898389824,0.1125795398923152,0.0,0.0,0.0
스마트드론과 졸업 후 진로는 어떻게 되나요?,"드론 조종, 드론 촬영, 드론 측량, 소프트웨어 개발 등 다양한 드론 관련 분야와 국내외 대학 진학 기회가 열려 있습니다.",스마트드론과 졸업 후 진로는 스마트드론 관련 산업체에서 경력을 쌓고 전공 분야의 전문성을 발휘할 수 있습니다.,0.012039533619616523,0.05376344086021505,0.0,0.0,0.0
스마트드론과에서 취득 가능한 자격증은 무엇인가요?,"초경량비행장치 무인멀티콥터 1종, 지도조종자, 실기평가조종자 등 드론 관련 자격증을 취득할 수 있습니다.",스마트드론과에서 취득 가능한 자격증은 SMAT 자격증입니다.,0.0,0.0,0.0,0.0,0.0
스마트드론과의 특징은 무엇인가요?,"최신 드론 실습장과 성남시 드론 시험 비행장 사용 협력으로 실습 효과를 극대화하며, 드론 축구팀 등 다양한 동아리 활동을 통해 학생들의 역량을 강화합니다.","스마트드론과의 특징은 스마트드론에 대한 전문적인 기술과 장비를 mastering 하며, 지역사회와 산업을 향상시키는 데 기여할 수 있는 인재를 양성하는 것입니다.",0.0,0.0,0.0,0.0,0.0
스마트드론과의 학과 위치와 연락처는 어떻게 되나요?,"9호관 1, 2층에 위치하고 있으며, 연락처는 전화 031-720-2086, 팩스 031-720-2261입니다.",스마트드론과의 학과는 9호관 1층에 위치하고 있습니다. 연락처는 T. 031-720-2086입니다.,0.028240990488565418,0.15151515151515152,0.6666666666666667,0.4615384615384615,0.6666666666666667
스마트드론과의 주요 협력 기관은 어디인가요?,"와우시스템, 경기수출기업연합회, (주)위프코, (주)경기항공, (주)진글라이더 등 다양한 드론 관련 산업체와 협력하고 있습니다.",스마트드론과의 주요 협력 기관은 (주)블루플래닛입니다.,0.0,0.0,0.0,0.0,0.0
스마트드론과에서 제공하는 교육 프로그램은 무엇인가요?,"드론 조종, 촬영, 정비, 측량 실습과 성인 학습자를 위한 PBL, 플립러닝, 비대면 강의를 포함한 교육 과정을 제공합니다.",스마트드론과는 미래 인재 양성을 위한 교육 프로그램이 있습니다. 이 교육 프로그램은 4차 산업혁명 시대 창의융합 인재양성을 목표로 합니다.,0.01284618972676772,0.05847953216374269,0.0,0.0,0.0
스마트드론과의 주요 학과 활동은 무엇인가요?,"드론 축구팀을 운영하며, 다양한 드론 축구 대회 참가와 실습을 통해 학생들의 실무 역량을 강화합니다.","스마트드론과의 주요 학과 활동은 공기역학, 비행역학, 항공기기체구조, 기체계통, 항공기재료의 수업을 포함하여 다양한 기술 기반 공부를 포함합니다.",0.012300686288463768,0.035211267605633804,0.0,0.0,0.0
