질문,답변
컴퓨터소프트웨어학과의 주요 교육 목표는 무엇인가요?,"4차 산업 및 미래산업의 핵심 분야인 소프트웨어 및 인공지능 개발을 위한 단계적 교육과정을 확립하고, 웹프로그래밍, 모바일 소프트웨어, 인공지능 및 빅데이터 분야별 교육과정을 통해 체계적인 교육을 제공합니다."
컴퓨터소프트웨어학과의 학사학위 전공심화과정은 언제 개설되었나요?,2018년 10월에 개설되었습니다.
컴퓨터소프트웨어학과에서 운영하는 전공 동아리는 무엇인가요?,"SWAP, Logic, JIP, SM 등의 전공 동아리가 운영되고 있습니다."
컴퓨터소프트웨어학과의 졸업생이 진출할 수 있는 직업군은 무엇인가요?,"모바일 소프트웨어 개발자, 인공지능 소프트웨어 개발자, 빅데이터 분석가, 네트워크 구축 및 서버 관리자 등 다양한 IT 분야 직업군에 진출할 수 있습니다."
컴퓨터소프트웨어학과의 취득 가능한 자격증은 무엇인가요?,"정보처리기사, 네트워크관리사, 빅데이터 분석기사, MCP, MCSA, OCJP, LPIC 등 다양한 자격증을 취득할 수 있습니다."
컴퓨터소프트웨어학과의 졸업생 취업 분포는 어떻게 되나요?,"소프트웨어 개발 분야 64%, 웹/멀티미디어 분야 28%, 기타 IT 분야 8%입니다."
컴퓨터소프트웨어학과의 학과명 변경 연혁은 어떻게 되나요?,"2002년 10월에 컴퓨터소프트웨어과로 변경되었고, 2018년 10월에 컴퓨터소프트웨어학과로 변경되었습니다."
컴퓨터소프트웨어학과를 선택해야 하는 이유는 무엇인가요?,"소프트웨어 개발 인력 부족으로 인해 높은 취업률을 자랑하며, 4차 산업의 핵심 분야에 필요한 전문 지식을 함양할 수 있습니다."
컴퓨터소프트웨어학과의 교육 트랙은 무엇인가요?,"웹프로그래밍 개발, 모바일 소프트웨어 개발, 인공지능 소프트웨어 개발의 3가지 교육 트랙이 있습니다."
컴퓨터소프트웨어학과의 주요 산학협동 업체는 어디인가요?,"솔트웨어, 씨앤에스링크, 메이팜소프트, 다원디엔에스, BHS, 지누스 등입니다."
